Target	Source	weight	Type
R21_ES017121_37	255	0.34025	Undirected
P01_ES009600_38	85	0.400843253968254	Undirected
P01_ES009600_38	212	0.17862103174603175	Undirected
R21_AI101375_39	43	0.2524532710280374	Undirected
R21_AI101375_39	195	0.3085280373831776	Undirected
K99_ES022243_40	153	0.12275943396226414	Undirected
K99_ES022243_40	186	0.1133254716981132	Undirected
K99_ES022243_40	276	0.12275943396226414	Undirected
K99_ES022243_40	309	0.25483490566037736	Undirected
P01_ES022844_41	195	0.34824074074074074	Undirected
P01_ES022844_41	197	0.15564814814814815	Undirected
P01_ES022844_41	362	0.3778703703703704	Undirected
R01_ES012054_42	163	0.4670833333333333	Undirected
R01_ES012054_42	254	0.10041666666666667	Undirected
R01_ES012054_42	387	0.23375	Undirected
DP1_ES024088_43	0	0.200625	Undirected
DP1_ES024088_43	263	0.5506249999999999	Undirected
R01_ES008739_44	268	0.16413934426229507	Undirected
R01_ES008739_44	354	0.3608606557377049	Undirected
R01_ES014639_45	50	0.11157407407407408	Undirected
R01_ES014639_45	60	0.22268518518518518	Undirected
R01_ES014639_45	61	0.1486111111111111	Undirected
R01_ES014639_45	62	0.18564814814814815	Undirected
P01_CA134294_46	194	0.18480769230769228	Undirected
P01_CA134294_46	327	0.15403846153846154	Undirected
P01_CA134294_46	351	0.2617307692307692	Undirected
P01_CA134294_46	395	0.18480769230769228	Undirected
P42_ES017198_47	167	0.33002577319587634	Undirected
P42_ES017198_47	258	0.22693298969072165	Undirected
P42_ES017198_47	308	0.2990979381443299	Undirected
P30_ES001247_48	222	0.2545118343195266	Undirected
P30_ES001247_48	295	0.3196005917159763	Undirected
P30_ES000260_49	104	0.12888257575757575	Undirected
P30_ES000260_49	314	0.6667613636363636	Undirected
R01_ES007331_50	149	0.28025	Undirected
R01_ES007331_50	323	0.24025	Undirected
R01_ES007331_50	336	0.10025	Undirected
R01_ES007331_50	347	0.12025000000000001	Undirected
R01_AI104459_51	0	0.15230978260869565	Undirected
R01_AI104459_51	24	0.15230978260869565	Undirected
R01_AI104459_51	129	0.2936141304347826	Undirected
R01_AI104459_51	398	0.14144021739130433	Undirected
P01_ES022844_52	171	0.11414473684210526	Undirected
P01_ES022844_52	232	0.4036184210526316	Undirected
P01_ES022844_52	347	0.1930921052631579	Undirected
P01_ES022831_53	182	0.18114224137931034	Undirected
P01_ES022831_53	236	0.1725215517241379	Undirected
P01_ES022831_53	362	0.12079741379310344	Undirected
P01_ES022831_53	397	0.19838362068965518	Undirected
U54_ES015678_54	138	0.6644230769230769	Undirected
R01_ES024681_55	126	0.18976293103448275	Undirected
